Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_accident,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
2024S006951,8,Nou Barris,46,el Turó de la Peira,119003,Fabra i Puig,330-332,Dimecres,2024,12,Desembre,4,15,Tarda,Caiguda interior vehicle,430579.611,4587097.874,2.16801139,41.43060023
2024S006952,3,Sants-Montjuïc,12,la Marina del Prat Vermell,701265,Litoral (Besòs),K145,Dimecres,2024,12,Desembre,4,19,Tarda,Col.lisió lateral,429180.710,4578306.438,2.15229875,41.35129663
2024S006953,3,Sants-Montjuïc,16,la Bordeta,169409,Corts Catalanes,195,Dimarts,2024,12,Desembre,3,5,Nit,Atropellament,428173.369,4580228.731,2.14003052,41.36852084
2024S006954,2,Eixample,6,la Sagrada Família,068900,Cartagena,,Dimarts,2024,12,Desembre,3,21,Tarda,Atropellament,431461.533,4584551.408,2.17885443,41.40774083
2024S006955,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,582,Dimecres,2024,12,Desembre,4,19,Tarda,Abast,430081.493,4582023.746,2.16263680,41.38485610
2024S006956,2,Eixample,8,l'Antiga Esquerra de l'Eixample,018505,Aragó,207,Dimecres,2024,12,Desembre,4,23,Nit,Encalç,429845.904,4582433.842,2.15977188,41.38852918
2024S006957,2,Eixample,7,la Dreta de l'Eixample,169409,Corts Catalanes,,Dimecres,2024,12,Desembre,4,18,Tarda,Col.lisió fronto-lateral,430311.080,4582286.328,2.16535220,41.38724102
2024S006958,2,Eixample,7,la Dreta de l'Eixample,350308,València,,Dijous,2024,12,Desembre,5,3,Nit,Col.lisió fronto-lateral,430690.501,4583426.611,2.16975930,41.39754400
2024S006959,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,305100,Sant Joan,,Dimecres,2024,12,Desembre,4,8,Matí,Col.lisió fronto-lateral,430228.010,4584092.678,2.16415049,41.40350303
2024S006960,2,Eixample,7,la Dreta de l'Eixample,100800,Diputació,,Dimecres,2024,12,Desembre,4,10,Matí,Col.lisió lateral,431164.612,4583326.200,2.17544171,41.39668038
2024S006961,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,032700,Balmes,,Dimecres,2024,12,Desembre,4,8,Matí,Col.lisió lateral,429054.273,4583653.953,2.15016127,41.39944881
2024S006962,8,Nou Barris,49,Canyelles,701501,B-20 (Llobregat),K135,Dijous,2024,12,Desembre,5,8,Matí,Col.lisió lateral,430361.272,4588243.807,2.16526633,41.44090228
2024S006963,10,Sant Martí,73,la Verneda i la Pau,318906,Santander,27,Dimecres,2024,12,Desembre,4,12,Matí,Col.lisió fronto-lateral,433090.149,4586350.987,2.19813882,41.42408642
2024S006964,9,Sant Andreu,61,la Sagrera,292507,Gran de la Sagrera,179,Dijous,2024,12,Desembre,5,7,Matí,Abast,432474.274,4586693.888,2.19073078,41.42712327
2024S006965,1,Ciutat Vella,1,el Raval,198804,Paral·lel,76-80,Dijous,2024,12,Desembre,5,10,Matí,Col.lisió lateral,430543.616,4580942.830,2.16828728,41.37516066
2024S006966,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,143904,General Mitre,,Dimarts,2024,12,Desembre,3,14,Tarda,Col.lisió lateral,428559.017,4584322.861,2.14415823,41.40542954
2024S006967,3,Sants-Montjuïc,12,la Marina del Prat Vermell,701265,Litoral (Besòs),K140,Dimarts,2024,12,Desembre,3,17,Tarda,Col.lisió lateral,429644.791,4578490.830,2.15782445,41.35299809
2024S006968,4,Les Corts,19,les Corts,343903,Corts,,Dimarts,2024,12,Desembre,3,14,Tarda,Col.lisió fronto-lateral,427423.784,4581974.043,2.13085949,41.38417294
2024S006969,5,Sarrià-Sant Gervasi,24,les Tres Torres,044709,Bonanova,,Dimarts,2024,12,Desembre,3,21,Tarda,Col.lisió lateral,427111.042,4584061.101,2.12686816,41.40294192
2024S006970,3,Sants-Montjuïc,18,Sants,700445,Països Catalans,1-7,Dimarts,2024,12,Desembre,3,10,Matí,Atropellament,428250.740,4581450.638,2.14081087,41.37953304
2024S006971,2,Eixample,5,el Fort Pienc,169409,Corts Catalanes,753,Dimecres,2024,12,Desembre,4,16,Tarda,Abast,431827.936,4583820.520,2.18332016,41.40118912
2024S006972,8,Nou Barris,48,la Guineueta,351901,Valldaura,150-152,Dijous,2024,12,Desembre,5,13,Matí,Atropellament,430455.380,4588033.267,2.16641697,41.43901419
2024S006973,2,Eixample,6,la Sagrada Família,289105,Rosselló,450,Dissabte,2024,12,Desembre,7,16,Tarda,Caiguda (dues rodes),431236.775,4584509.068,2.17617043,41.40734029
2024S006974,9,Sant Andreu,63,Navas,226400,Las Navas de Tolosa,,Dijous,2024,12,Desembre,5,12,Matí,Col.lisió lateral,431998.577,4585528.220,2.18516937,41.41658431
2024S006975,8,Nou Barris,45,Porta,186601,República,6-7,Dijous,2024,12,Desembre,5,12,Matí,Col.lisió lateral,431181.285,4587936.675,2.17511630,41.43820680
2024S006976,2,Eixample,6,la Sagrada Família,018505,Aragó,,Dijous,2024,12,Desembre,5,14,Tarda,Col.lisió fronto-lateral,431463.856,4583995.646,2.17894519,41.40273545
