Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_accident,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
2024S000001,9,Sant Andreu,57,la Trinitat Vella,701268,Dalt (Llobregat),K165,Dilluns,2024,1,Gener,1,2,Nit,Sortida de via amb bolcada,432839.501,4589349.921,2.19480599,41.45107592
2024S000002,2,Eixample,8,l'Antiga Esquerra de l'Eixample,144601,Diagonal,423-425,Dilluns,2024,1,Gener,1,3,Nit,Abast,429284.086,4583117.055,2.15297294,41.39463342
2024S000003,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,,Dilluns,2024,1,Gener,1,4,Nit,Col.lisió fronto-lateral,429834.070,4581818.313,2.15970168,41.38298427
2024S000004,1,Ciutat Vella,2,el Barri Gòtic,701498,B-10 (Besòs),K108,Dilluns,2024,1,Gener,1,5,Nit,Xoc contra element estàtic,431394.300,4580979.914,2.17845490,41.37556768
2024S000005,4,Les Corts,19,les Corts,231502,Numància,,Dilluns,2024,1,Gener,1,7,Matí,Col.lisió fronto-lateral,427952.005,4582061.234,2.13716598,41.38500574
2024S000006,8,Nou Barris,50,les Roquetes,700652,Torre Baró,0,Dilluns,2024,1,Gener,1,2,Nit,Xoc contra element estàtic,431486.276,4589432.351,2.17859692,41.45170389
2024S000007,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100800,Diputació,,Dilluns,2024,1,Gener,1,3,Nit,Col.lisió fronto-lateral,429731.205,4581923.321,2.15845937,41.38392107
2024S000008,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,112004,Escorial,8-10,Dilluns,2024,1,Gener,1,9,Matí,Col.lisió lateral,430158.111,4584303.008,2.16329004,41.40539133
2024S000009,2,Eixample,7,la Dreta de l'Eixample,074404,Catalunya,14,Dilluns,2024,1,Gener,1,3,Nit,Atropellament,430785.871,4582325.779,2.17102591,41.38763737
2024S000010,4,Les Corts,19,les Corts,343903,Corts,,Dilluns,2024,1,Gener,1,15,Tarda,Col.lisió fronto-lateral,428100.997,4582507.880,2.13889473,41.38904185
2024S000011,7,Horta-Guinardó,43,Horta,700651,Estatut de Catalunya,,Dilluns,2024,1,Gener,1,18,Tarda,Abast,429275.066,4587922.899,2.15230286,41.43791701
2024S000012,2,Eixample,6,la Sagrada Família,018505,Aragó,536,Dilluns,2024,1,Gener,1,19,Tarda,Abast,431830.639,4584335.132,2.18329450,41.40582430
2024S000013,7,Horta-Guinardó,36,la Font d'en Fargues,194406,Maragall,343,Dilluns,2024,1,Gener,1,19,Tarda,Caiguda interior vehicle,430583.290,4586735.460,2.16809707,41.42733641
2024S000014,2,Eixample,6,la Sagrada Família,191204,Mallorca,492,Dilluns,2024,1,Gener,1,19,Tarda,Caiguda (dues rodes),431537.917,4584426.386,2.17978239,41.40662131
2024S000015,10,Sant Martí,72,Sant Martí de Provençals,153205,Guipúscoa,,Dilluns,2024,1,Gener,1,20,Tarda,Col.lisió lateral,433083.445,4585580.971,2.19814385,41.41715055
2024S000016,1,Ciutat Vella,1,el Raval,034308,Rambla,25,Dimarts,2024,1,Gener,2,7,Matí,Xoc contra element estàtic,431144.574,4581298.498,2.17543263,41.37841573
2024S000017,2,Eixample,5,el Fort Pienc,076807,Sardenya,,Dimecres,2024,1,Gener,3,11,Matí,Atropellament,431357.223,4583702.929,2.17770283,41.40008994
2024S000018,2,Eixample,9,la Nova Esquerra de l'Eixample,268003,Provença,,Dimarts,2024,1,Gener,2,8,Matí,Atropellament,428690.809,4581838.576,2.14602751,41.38306620
2024S000019,4,Les Corts,19,les Corts,052605,Caballero,75-77,Dimarts,2024,1,Gener,2,8,Matí,Altres,427965.393,4581910.208,2.13734405,41.38364670
2024S000020,9,Sant Andreu,63,Navas,086108,Concepción Arenal,64,Dimarts,2024,1,Gener,2,10,Matí,Abast,431910.426,4586147.368,2.18404491,41.42215331
2024S000021,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,101008,Tibidabo,,Dimarts,2024,1,Gener,2,10,Matí,Col.lisió fronto-lateral,427714.159,4585334.953,2.13393052,41.41446946
2024S000022,8,Nou Barris,48,la Guineueta,351901,Valldaura,,Dimarts,2024,1,Gener,2,13,Matí,Col.lisió lateral,430596.991,4588038.519,2.16811131,41.43907376
2024S000023,2,Eixample,8,l'Antiga Esquerra de l'Eixample,070607,Casanova,37-41,Dimarts,2024,1,Gener,2,14,Tarda,Col.lisió lateral,429880.416,4581947.518,2.16024095,41.38415203
2024S000024,10,Sant Martí,64,el Camp de l'Arpa del Clot,161101,Independència,,Dimarts,2024,1,Gener,2,14,Tarda,Col.lisió fronto-lateral,431372.381,4585035.948,2.17773291,41.41209731
2024S000025,1,Ciutat Vella,1,el Raval,250904,Pelai,42,Dimarts,2024,1,Gener,2,14,Tarda,Abast multiple,430528.012,4582094.347,2.16796861,41.38553068
2024S000027,4,Les Corts,20,la Maternitat i Sant Ramon,700811,Albert Bastardas,37,Dimarts,2024,1,Gener,2,17,Tarda,Col.lisió fronto-lateral,425425.903,4581800.007,2.10698887,41.38242267
2024S000028,3,Sants-Montjuïc,11,el Poble Sec,043400,Blai,,Dimarts,2024,1,Gener,2,20,Tarda,Xoc contra element estàtic,430158.021,4580817.069,2.16369113,41.37399458
2024S000029,4,Les Corts,19,les Corts,144601,Diagonal,634-642,Dimarts,2024,1,Gener,2,14,Tarda,Atropellament,427842.474,4582730.168,2.13577638,41.39102075
2024S000030,2,Eixample,7,la Dreta de l'Eixample,169409,Corts Catalanes,,Dimarts,2024,1,Gener,2,18,Tarda,Col.lisió fronto-lateral,430311.080,4582286.328,2.16535220,41.38724102
2024S000031,2,Eixample,5,el Fort Pienc,197302,Marina,111,Dimarts,2024,1,Gener,2,22,Nit,Col.lisió lateral,432022.052,4583190.019,2.18571302,41.39552682
2024S000032,2,Eixample,8,l'Antiga Esquerra de l'Eixample,169409,Corts Catalanes,,Dimecres,2024,1,Gener,3,9,Matí,Col.lisió fronto-lateral,430025.030,4582004.984,2.16196373,41.38468220
2024S000033,5,Sarrià-Sant Gervasi,24,les Tres Torres,103502,Doctor Roux,,Dimecres,2024,1,Gener,3,12,Matí,Col.lisió fronto-lateral,427563.329,4583223.843,2.13237872,41.39544198
2024S000034,7,Horta-Guinardó,43,Horta,700013,Karl Marx,0,Dimecres,2024,1,Gener,3,12,Matí,Caiguda interior vehicle,430069.396,4588237.982,2.16177346,41.44082444
2024S000035,4,Les Corts,19,les Corts,107004,Equador,,Dimecres,2024,1,Gener,3,13,Matí,Col.lisió fronto-lateral,428251.396,4582096.520,2.14074219,41.38535032
2024S000036,7,Horta-Guinardó,37,el Carmel,320307,Santuari,,Dimecres,2024,1,Gener,3,15,Tarda,Abast,429211.748,4585953.435,2.15177578,41.42017326
2024S000037,8,Nou Barris,52,la Prosperitat,004409,Aiguablava,,Dimecres,2024,1,Gener,3,15,Tarda,Caiguda interior vehicle,431563.435,4588806.197,2.17959162,41.44607095
2024S000038,7,Horta-Guinardó,43,Horta,194406,Maragall,,Dimecres,2024,1,Gener,3,17,Tarda,Abast,430119.317,4586938.096,2.16252137,41.42912123
2024S000039,2,Eixample,5,el Fort Pienc,286504,Roger de Flor,,Dimecres,2024,1,Gener,3,17,Tarda,Col.lisió lateral,431465.748,4583017.275,2.17907864,41.39392372
2024S000040,5,Sarrià-Sant Gervasi,24,les Tres Torres,028000,Augusta,314-316,Dimecres,2024,1,Gener,3,17,Tarda,Abast,427073.370,4583527.259,2.12648186,41.39813042
2024S000041,7,Horta-Guinardó,33,el Baix Guinardó,152905,Guinardó,90,Dimecres,2024,1,Gener,3,22,Nit,Abast,430765.400,4585196.940,2.17045255,41.41349523
2024S000042,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,305100,Sant Joan,,Dimecres,2024,1,Gener,3,20,Tarda,Col.lisió fronto-lateral,430411.157,4583904.052,2.16636306,41.40182002
2024S000043,2,Eixample,8,l'Antiga Esquerra de l'Eixample,144601,Diagonal,439,Dimecres,2024,1,Gener,3,23,Nit,Xoc contra element estàtic,429052.767,4583041.426,2.15021506,41.39393187
2024S000044,7,Horta-Guinardó,35,el Guinardó,152905,Guinardó,,Dijous,2024,1,Gener,4,2,Nit,Encalç,430786.526,4585244.587,2.17069986,41.41392619
2024S000045,3,Sants-Montjuïc,11,el Poble Sec,701497,B-10 (Llobregat),E21,Dijous,2024,1,Gener,4,6,Matí,Abast,430808.328,4579990.000,2.17156129,41.36660160
2024S000046,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,143904,General Mitre,,Dimarts,2024,1,Gener,2,21,Tarda,Col.lisió fronto-lateral,428777.848,4584356.555,2.14677207,41.40575243
2024S000047,10,Sant Martí,71,Provençals del Poblenou,253902,Perú,,Dimecres,2024,1,Gener,3,19,Tarda,Col.lisió fronto-lateral,432709.248,4584421.068,2.19379565,41.40667237
2024S000048,2,Eixample,7,la Dreta de l'Eixample,169409,Corts Catalanes,,Dijous,2024,1,Gener,4,11,Matí,Col.lisió lateral,430557.688,4582525.424,2.16827407,41.38941583
2024S000049,3,Sants-Montjuïc,15,Hostafrancs,331507,Tarragona,,Dijous,2024,1,Gener,4,8,Matí,Col.lisió frontal,428866.530,4581079.658,2.14821801,41.37624645
2024S000050,2,Eixample,10,Sant Antoni,054509,Calàbria,,Dijous,2024,1,Gener,4,9,Matí,Caiguda (dues rodes),429835.153,4581050.808,2.15980353,41.37607169
2024S000051,2,Eixample,7,la Dreta de l'Eixample,018505,Aragó,,Dijous,2024,1,Gener,4,9,Matí,Col.lisió lateral,430403.064,4582955.169,2.16637539,41.39327304
2024S000052,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,144601,Diagonal,566,Dijous,2024,1,Gener,4,12,Matí,Abast,429057.546,4583097.677,2.15026563,41.39443893
2024S000053,9,Sant Andreu,59,el Bon Pastor,701265,Litoral (Besòs),K18,Dijous,2024,1,Gener,4,13,Matí,Abast multiple,433996.603,4587900.480,2.20881642,41.43811730
2024S000054,4,Les Corts,19,les Corts,144601,Diagonal,,Dijous,2024,1,Gener,4,15,Tarda,Col.lisió fronto-lateral,427206.997,4582445.169,2.12821035,41.38839659
2024S000055,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,155109,Lázaro Cárdenas,,Dijous,2024,1,Gener,4,14,Tarda,Col.lisió fronto-lateral,427819.409,4583268.089,2.13543638,41.39586353
2024S000056,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,139805,Ganduxer,114-116,Dijous,2024,1,Gener,4,17,Tarda,Abast,427553.682,4583957.857,2.13217547,41.40205208
2024S000057,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,093409,Craywinckel,12-16,Dijous,2024,1,Gener,4,13,Matí,Atropellament,428152.184,4585056.424,2.13920428,41.41200016
2024S000058,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,144601,Diagonal,,Dijous,2024,1,Gener,4,20,Tarda,Xoc contra element estàtic,428614.303,4582926.603,2.14498432,41.39285888
2024S000059,2,Eixample,6,la Sagrada Família,105304,Dos de Maig,,Dijous,2024,1,Gener,4,16,Tarda,Col.lisió fronto-lateral,431931.309,4584263.018,2.18450693,41.40518333
2024S000060,8,Nou Barris,50,les Roquetes,120807,Favència,233,Dijous,2024,1,Gener,4,17,Tarda,Caiguda interior vehicle,431428.097,4588801.805,2.17797209,41.44601984
2024S000061,2,Eixample,7,la Dreta de l'Eixample,169409,Corts Catalanes,702,Dijous,2024,1,Gener,4,21,Tarda,Col.lisió lateral,431072.730,4582993.838,2.17438055,41.39367902
2024S000062,2,Eixample,6,la Sagrada Família,268003,Provença,,Divendres,2024,1,Gener,5,7,Matí,Col.lisió lateral,431183.543,4584280.162,2.17555965,41.40527404
2024S000063,10,Sant Martí,67,la Vila Olímpica del Poblenou,367504,Doctor Trueta,,Divendres,2024,1,Gener,5,10,Matí,Col.lisió fronto-lateral,433073.949,4583092.358,2.19830558,41.39473550
2024S000064,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",085309,Comercial,7,Divendres,2024,1,Gener,5,11,Matí,Atropellament,431792.696,4582082.283,2.18309450,41.38553032
2024S000065,1,Ciutat Vella,1,el Raval,701349,Drassanes,,Dijous,2024,1,Gener,4,21,Tarda,Abast,431242.622,4580854.666,2.17665545,41.37442665
2024S000066,7,Horta-Guinardó,35,el Guinardó,152905,Guinardó,,Dijous,2024,1,Gener,4,21,Tarda,Col.lisió fronto-lateral,430786.526,4585244.587,2.17069986,41.41392619
2024S000067,3,Sants-Montjuïc,18,Sants,162002,Josep Tarradellas,59,Divendres,2024,1,Gener,5,12,Matí,Atropellament,428379.327,4582041.368,2.14227865,41.38486500
2024S000068,4,Les Corts,21,Pedralbes,144601,Diagonal,,Divendres,2024,1,Gener,5,9,Matí,Abast,425852.582,4582020.451,2.11206426,41.38444757
2024S000069,8,Nou Barris,50,les Roquetes,212304,Mina de la Ciutat,83,Divendres,2024,1,Gener,5,12,Matí,Caiguda interior vehicle,431275.927,4589084.131,2.17611843,41.44854962
2024S000070,2,Eixample,10,Sant Antoni,198804,Paral·lel,142-146,Divendres,2024,1,Gener,5,13,Matí,Atropellament,429808.412,4580953.009,2.15949512,41.37518851
2024S000071,2,Eixample,5,el Fort Pienc,169409,Corts Catalanes,,Divendres,2024,1,Gener,5,13,Matí,Abast,431553.841,4583500.417,2.18007765,41.39828275
2024S000072,4,Les Corts,20,la Maternitat i Sant Ramon,144601,Diagonal,,Divendres,2024,1,Gener,5,14,Tarda,Col.lisió lateral,426793.069,4582325.321,2.12327446,41.38727958
2024S000073,1,Ciutat Vella,3,la Barceloneta,197903,Marítim de la Barceloneta,23-31,Divendres,2024,1,Gener,5,14,Tarda,Atropellament,432758.379,4581836.017,2.19467063,41.38339360
2024S000074,2,Eixample,9,la Nova Esquerra de l'Eixample,110803,Entença,,Divendres,2024,1,Gener,5,18,Tarda,Caiguda (dues rodes),429156.524,4581362.402,2.15165251,41.37881863
2024S000075,2,Eixample,8,l'Antiga Esquerra de l'Eixample,349706,Comte d'Urgell,220,Divendres,2024,1,Gener,5,15,Tarda,Abast,429013.846,4582487.728,2.14981447,41.38894147
2024S000076,4,Les Corts,21,Pedralbes,144601,Diagonal,712-716,Divendres,2024,1,Gener,5,22,Nit,Abast multiple,425404.649,4581888.602,2.10672380,41.38321863
2024S000077,2,Eixample,7,la Dreta de l'Eixample,289105,Rosselló,,Divendres,2024,1,Gener,5,23,Nit,Col.lisió fronto-lateral,430028.144,4583341.238,2.16184651,41.39671768
2024S000078,2,Eixample,5,el Fort Pienc,169409,Corts Catalanes,788,Divendres,2024,1,Gener,5,20,Tarda,Caiguda (dues rodes),431739.185,4583645.442,2.18227827,41.39960471
2024S000079,2,Eixample,7,la Dreta de l'Eixample,074404,Catalunya,10,Divendres,2024,1,Gener,5,17,Tarda,Col.lisió lateral,430644.481,4582349.327,2.16933226,41.38783727
2024S000080,3,Sants-Montjuïc,15,Hostafrancs,161305,Indíbil,,Divendres,2024,1,Gener,5,20,Tarda,Col.lisió fronto-lateral,428420.752,4580432.674,2.14296412,41.37037974
2024S000081,2,Eixample,5,el Fort Pienc,169409,Corts Catalanes,751,Dissabte,2024,1,Gener,6,11,Matí,Abast,431756.231,4583735.028,2.18247207,41.40041303
2024S000082,7,Horta-Guinardó,43,Horta,351901,Valldaura,30,Dijous,2024,1,Gener,4,6,Matí,Abast,429660.864,4587903.493,2.15692261,41.43777613
2024S000083,4,Les Corts,21,Pedralbes,144601,Diagonal,680,Divendres,2024,1,Gener,5,14,Tarda,Abast multiple,426879.747,4582417.877,2.12429989,41.38812108
2024S000084,4,Les Corts,21,Pedralbes,144601,Diagonal,712-716,Divendres,2024,1,Gener,5,21,Tarda,Col.lisió lateral,425404.649,4581888.602,2.10672380,41.38321863
2024S000085,8,Nou Barris,48,la Guineueta,351901,Valldaura,175,Dissabte,2024,1,Gener,6,16,Tarda,Caiguda interior vehicle,431013.112,4587997.663,2.17309650,41.43874166
2024S000086,4,Les Corts,20,la Maternitat i Sant Ramon,144601,Diagonal,643,Dissabte,2024,1,Gener,6,18,Tarda,Atropellament,426498.510,4582192.316,2.11976790,41.38605478
2024S000087,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,101008,Tibidabo,,Dissabte,2024,1,Gener,6,20,Tarda,Col.lisió fronto-lateral,427714.159,4585334.953,2.13393052,41.41446946
2024S000088,5,Sarrià-Sant Gervasi,23,Sarrià,701501,B-20 (Llobregat),E9,Dissabte,2024,1,Gener,6,20,Tarda,Abast,425982.384,4583777.908,2.11340164,41.40028816
2024S000089,2,Eixample,8,l'Antiga Esquerra de l'Eixample,349706,Comte d'Urgell,,Dissabte,2024,1,Gener,6,21,Tarda,Col.lisió lateral,428605.670,4582881.433,2.14488639,41.39245128
2024S000090,2,Eixample,10,Sant Antoni,361406,Viladomat,,Dissabte,2024,1,Gener,6,21,Tarda,Caiguda (dues rodes),430025.093,4581048.897,2.16207494,41.37607102
2024S000091,5,Sarrià-Sant Gervasi,23,Sarrià,107300,Eduardo Conde,3-5,Dissabte,2024,1,Gener,6,17,Tarda,Xoc contra element estàtic,426721.960,4582792.211,2.12236755,41.39147818
2024S000092,2,Eixample,6,la Sagrada Família,289105,Rosselló,,Diumenge,2024,1,Gener,7,5,Nit,Col.lisió lateral,431274.055,4584558.517,2.17661079,41.40778884
2024S000093,1,Ciutat Vella,2,el Barri Gòtic,177101,Laietana,51,Diumenge,2024,1,Gener,7,10,Matí,Atropellament,431045.860,4582285.176,2.17413989,41.38729401
2024S000094,7,Horta-Guinardó,33,el Baix Guinardó,178308,Lepant,368-370,Diumenge,2024,1,Gener,7,9,Matí,Col.lisió lateral,430806.482,4584689.883,2.17100209,41.40893188
2024S000095,8,Nou Barris,53,la Trinitat Nova,209900,Meridiana,599,Diumenge,2024,1,Gener,7,12,Matí,Abast,432259.002,4589116.236,2.18788294,41.44892239
2024S000096,2,Eixample,7,la Dreta de l'Eixample,268003,Provença,,Diumenge,2024,1,Gener,7,13,Matí,Atropellament,429868.703,4582996.420,2.15997937,41.39359813
2024S000097,1,Ciutat Vella,2,el Barri Gòtic,034308,Rambla,88,Diumenge,2024,1,Gener,7,14,Tarda,Caiguda interior vehicle,430930.384,4581693.077,2.17282639,41.38195123
2024S000098,2,Eixample,8,l'Antiga Esquerra de l'Eixample,245802,París,,Diumenge,2024,1,Gener,7,15,Tarda,Col.lisió lateral,428885.894,4582593.132,2.14827183,41.38987951
2024S000099,10,Sant Martí,71,Provençals del Poblenou,169409,Corts Catalanes,,Diumenge,2024,1,Gener,7,18,Tarda,Xoc contra element estàtic,432800.776,4584710.486,2.19485846,41.40928674
2024S000100,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,701353,Josep M. Lladó,1,Diumenge,2024,1,Gener,7,17,Tarda,Xoc contra element estàtic,426965.604,4584913.652,2.12502547,41.41060727
2024S000101,4,Les Corts,19,les Corts,110803,Entença,,Diumenge,2024,1,Gener,7,22,Nit,Col.lisió lateral,427954.947,4582701.104,2.13712502,41.39076907
2024S000102,4,Les Corts,20,la Maternitat i Sant Ramon,100708,Arístides Maillol,23,Dilluns,2024,1,Gener,8,8,Matí,Caiguda (dues rodes),426409.600,4581519.134,2.11878642,41.37998358
2024S000103,3,Sants-Montjuïc,12,la Marina del Prat Vermell,701265,Litoral (Besòs),E14,Dilluns,2024,1,Gener,8,9,Matí,Abast multiple,429595.667,4578423.700,2.15724505,41.35238918
2024S000104,5,Sarrià-Sant Gervasi,23,Sarrià,037350,J. V. FOIX,1,Dilluns,2024,1,Gener,8,10,Matí,Abast,426578.121,4583122.402,2.12060717,41.39443895
2024S000105,6,Gràcia,28,Vallcarca i els Penitents,701103,Alfonso Comín,5,Dilluns,2024,1,Gener,8,8,Matí,Col.lisió lateral,428100.864,4585361.877,2.13855397,41.41474666
2024S000106,6,Gràcia,28,Vallcarca i els Penitents,701103,Alfonso Comín,7,Dilluns,2024,1,Gener,8,6,Matí,Xoc contra element estàtic,428045.091,4585465.581,2.13787434,41.41567568
2024S000107,7,Horta-Guinardó,39,Sant Genís dels Agudells,148409,Sant Cugat,,Divendres,2024,1,Gener,5,19,Tarda,Col.lisió fronto-lateral,428095.076,4586174.999,2.13838800,41.42206959
2024S000108,7,Horta-Guinardó,35,el Guinardó,194406,Maragall,215,Dilluns,2024,1,Gener,8,9,Matí,Abast,431269.115,4586469.183,2.17633448,41.42499715
2024S000109,3,Sants-Montjuïc,18,Sants,202901,Masnou,,Dilluns,2024,1,Gener,8,10,Matí,Atropellament,428159.052,4581060.041,2.13976079,41.37600689
2024S000110,2,Eixample,6,la Sagrada Família,068900,Cartagena,,Dilluns,2024,1,Gener,8,8,Matí,Caiguda interior vehicle,431178.884,4584841.259,2.17544006,41.41032727
2024S000111,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,,Dilluns,2024,1,Gener,8,11,Matí,Col.lisió lateral,429641.975,4581631.115,2.15742623,41.38128146
2024S000112,2,Eixample,6,la Sagrada Família,197302,Marina,,Dilluns,2024,1,Gener,8,12,Matí,Atropellament,431369.711,4583900.935,2.17782974,41.40187439
2024S000113,7,Horta-Guinardó,37,el Carmel,337401,Tolrà,,Dilluns,2024,1,Gener,8,12,Matí,Atropellament,429681.719,4586482.929,2.15733757,41.42498351
2024S000114,7,Horta-Guinardó,43,Horta,700013,Karl Marx,1,Dilluns,2024,1,Gener,8,12,Matí,Caiguda interior vehicle,430069.177,4588237.792,2.16177086,41.44082271
2024S000115,2,Eixample,8,l'Antiga Esquerra de l'Eixample,023403,Aribau,61,Dilluns,2024,1,Gener,8,13,Matí,Col.lisió lateral,429772.966,4582440.675,2.15889878,41.38858436
2024S000116,1,Ciutat Vella,2,el Barri Gòtic,130403,Fontanella,,Dilluns,2024,1,Gener,8,9,Matí,Atropellament,430931.778,4582415.709,2.17276063,41.38845989
2024S000117,10,Sant Martí,65,el Clot,226400,Las Navas de Tolosa,257,Dilluns,2024,1,Gener,8,12,Matí,Col.lisió lateral,432361.703,4585141.698,2.18955736,41.41313369
2024S000118,2,Eixample,7,la Dreta de l'Eixample,144601,Diagonal,,Dilluns,2024,1,Gener,8,18,Tarda,Col.lisió fronto-lateral,430562.795,4583557.345,2.16821675,41.39871045
2024S000119,2,Eixample,6,la Sagrada Família,018505,Aragó,,Dilluns,2024,1,Gener,8,13,Matí,Col.lisió lateral,431647.552,4584174.643,2.18112240,41.40436327
2024S000120,8,Nou Barris,50,les Roquetes,341409,Torres,,Dilluns,2024,1,Gener,8,20,Tarda,Atropellament,431004.886,4588880.477,2.17289717,41.44669212
2024S000121,10,Sant Martí,67,la Vila Olímpica del Poblenou,132908,Ramon Trias Fargas,44,Dilluns,2024,1,Gener,8,15,Tarda,Col.lisió lateral,432437.711,4582612.976,2.19074912,41.39036460
2024S000122,10,Sant Martí,71,Provençals del Poblenou,701414,C-31,K2077,Dijous,2024,1,Gener,11,20,Tarda,Abast,433509.447,4585389.777,2.20326199,41.41546391
2024S000123,7,Horta-Guinardó,43,Horta,700013,Karl Marx,1,Dilluns,2024,1,Gener,8,20,Tarda,Abast,430069.177,4588237.792,2.16177086,41.44082271
2024S000124,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,191703,Mandri,64,Dilluns,2024,1,Gener,8,7,Matí,Col.lisió lateral,427534.574,4584306.918,2.13190508,41.40519420
2024S000125,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,191703,Mandri,26,Dilluns,2024,1,Gener,8,20,Tarda,Caiguda (dues rodes),427743.522,4584049.018,2.13443545,41.40289022
2024S000126,2,Eixample,7,la Dreta de l'Eixample,169409,Corts Catalanes,678,Dilluns,2024,1,Gener,8,16,Tarda,Abast,430934.783,4582858.790,2.17274603,41.39245084
2024S000127,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,139805,Ganduxer,,Dilluns,2024,1,Gener,8,15,Tarda,Abast,427815.426,4583480.388,2.13536342,41.39777526
2024S000128,2,Eixample,9,la Nova Esquerra de l'Eixample,018505,Aragó,125,Dilluns,2024,1,Gener,8,15,Tarda,Col.lisió lateral,429323.935,4581915.852,2.15358979,41.38381810
2024S000129,3,Sants-Montjuïc,13,la Marina de Port,169409,Corts Catalanes,128-132,Dilluns,2024,1,Gener,8,20,Tarda,Abast,427746.592,4579719.633,2.13498871,41.36389736
2024S000130,6,Gràcia,28,Vallcarca i els Penitents,148409,Sant Cugat,K1,Dilluns,2024,1,Gener,8,23,Nit,Caiguda (dues rodes),428121.635,4585794.455,2.13875106,41.41864456
2024S000131,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,030409,Bac de Roda,44-46,Dilluns,2024,1,Gener,8,22,Nit,Altres,433878.024,4584200.704,2.20780191,41.40478465
2024S000132,10,Sant Martí,71,Provençals del Poblenou,701414,C-31,K2080,Dilluns,2024,1,Gener,8,18,Tarda,Abast,433723.918,4585600.717,2.20580495,41.41738151
2024S000133,10,Sant Martí,68,el Poblenou,701497,B-10 (Llobregat),E23,Dimarts,2024,1,Gener,9,7,Matí,Abast,433716.260,4583157.320,2.20598108,41.39537382
2024S000134,3,Sants-Montjuïc,18,Sants,187207,Madrid,152-154,Dimarts,2024,1,Gener,9,6,Matí,Col.lisió lateral,427394.621,4581507.579,2.13056665,41.37996904
2024S000135,5,Sarrià-Sant Gervasi,23,Sarrià,188403,Manuel de Falla,33-35,Dimarts,2024,1,Gener,9,8,Matí,Xoc contra element estàtic,427100.135,4583138.740,2.12684881,41.39463362
2024S000136,2,Eixample,7,la Dreta de l'Eixample,018505,Aragó,,Dimarts,2024,1,Gener,9,8,Matí,Abast,430498.665,4583050.268,2.16750791,41.39413783
2024S000137,4,Les Corts,20,la Maternitat i Sant Ramon,144601,Diagonal,635-637,Dimarts,2024,1,Gener,9,9,Matí,Col.lisió fronto-lateral,426848.127,4582296.782,2.12393637,41.38702756
2024S000138,2,Eixample,9,la Nova Esquerra de l'Eixample,087009,Comte Borrell,174,Dimarts,2024,1,Gener,9,12,Matí,Atropellament,429381.568,4581915.019,2.15427911,41.38381566
2024S000139,5,Sarrià-Sant Gervasi,24,les Tres Torres,028000,Augusta,,Dimarts,2024,1,Gener,9,8,Matí,Abast,427200.372,4583487.593,2.12800575,41.39778468
2024S000140,9,Sant Andreu,63,Navas,121402,Felip II,41-43,Dimarts,2024,1,Gener,9,9,Matí,Abast,432340.148,4585728.879,2.18923376,41.41842044
2024S000141,2,Eixample,8,l'Antiga Esquerra de l'Eixample,018505,Aragó,174-176,Dimarts,2024,1,Gener,9,11,Matí,Abast,429679.921,4582226.568,2.15781086,41.38664783
2024S000142,10,Sant Martí,72,Sant Martí de Provençals,169409,Corts Catalanes,971E,Dimarts,2024,1,Gener,9,13,Matí,Atropellament,432995.905,4584981.131,2.19716290,41.41174067
2024S000143,4,Les Corts,20,la Maternitat i Sant Ramon,700941,Menéndez y Pelayo,8-10,Dimarts,2024,1,Gener,9,15,Tarda,Col.lisió fronto-lateral,426627.068,4581963.664,2.12133303,41.38400716
2024S000144,7,Horta-Guinardó,41,la Vall d'Hebron,352507,Vall d'Hebron,228,Dimarts,2024,1,Gener,9,13,Matí,Col.lisió lateral,428843.094,4587518.855,2.14718034,41.43423976
2024S000145,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,143904,General Mitre,,Dimarts,2024,1,Gener,9,15,Tarda,Col.lisió lateral,427714.854,4583654.888,2.13413961,41.39933787
